id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
3521163780,雪花女神龙,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2373065034.jpg,,https://movie.douban.com/subject/2377264/,7,"剧情,武侠",3,,,2022-10-05 22:43:00,2002 / 中国大陆 / 剧情 武侠 / 张俊 / 董璇 任天野
3520915557,想见你,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2576977981.jpg,2019-11-17(中国台湾),https://movie.douban.com/subject/30468961/,9.2,"爱情,悬疑,奇幻",4,,,2022-10-05 19:51:52,2019 / 中国台湾 / 爱情 悬疑 奇幻 / 黄天仁 / 柯佳嬿 许光汉
3519508416,爱在黎明破晓前,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2555762374.jpg,1995-01-27(美国),https://movie.douban.com/subject/1296339/,8.8,"剧情,爱情",4,,,2022-10-04 17:41:12,1995 / 美国 奥地利 瑞士 / 剧情 爱情 / 理查德·林克莱特 / 伊桑·霍克 朱莉·德尔佩
3517743538,父母爱情,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2554351588.jpg,2014-02-02(中国大陆),https://movie.douban.com/subject/19965220/,9.5,"爱情,家庭",5,,,2022-10-03 10:11:40,2014 / 中国大陆 / 爱情 家庭 / 孔笙 / 郭涛 梅婷
3498207499,摩登时代,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2263408369.jpg,1936-02-25(美国),https://movie.douban.com/subject/1294371/,9.3,"剧情,喜剧,爱情",4,,,2022-09-18 17:56:01,1936 / 美国 / 剧情 喜剧 爱情 / 查理·卓别林 / 查理·卓别林 宝莲·高黛
3354401568,诺丁山,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p480943589.jpg,1999-05-21(英国),https://movie.douban.com/subject/1298038/,8,"喜剧,爱情",4,,,2022-09-15 01:55:20,1999 / 英国 美国 / 喜剧 爱情 / 罗杰·米歇尔 / 朱莉娅·罗伯茨 休·格兰特
3472239223,隐入尘烟,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2875299554.jpg,2022-07-08(中国大陆),https://movie.douban.com/subject/35131346/,8.4,剧情,4,,,2022-09-09 01:46:10,2022 / 中国大陆 / 剧情 / 李睿珺 / 武仁林 海清
3345577850,神探狄仁杰,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2240355699.jpg,2004-08-05(中国大陆),https://movie.douban.com/subject/2995948/,9.1,"剧情,悬疑,古装",4,,,2022-09-09 01:45:10,2004 / 中国大陆 / 剧情 悬疑 古装 / 钱雁秋 / 梁冠华 吕中
3469297824,落叶归根,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1298673351.jpg,2007-01-19(中国大陆),https://movie.douban.com/subject/1853621/,8.4,"剧情,喜剧",4,高中的时候看的,,2022-08-22 23:50:05,2007 / 中国大陆 中国香港 / 剧情 喜剧 / 张杨 / 赵本山 郭德纲
924313691,入殓师,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2707581855.jpg,2021-10-29(中国大陆),https://movie.douban.com/subject/2149806/,8.9,剧情,5,,,2022-08-21 15:26:57,2008 / 日本 / 剧情 / 泷田洋二郎 / 本木雅弘 广末凉子
3423649163,外太空的莫扎特,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2875247130.jpg,2022-07-15(中国大陆),https://movie.douban.com/subject/35168646/,4.3,"喜剧,科幻,家庭",4,,,2022-07-16 18:40:13,2022 / 中国大陆 / 喜剧 科幻 家庭 / 陈思诚 / 黄渤 荣梓杉
1433701453,你看起来好像很好吃,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2554167519.jpg,2010-10-16(日本),https://movie.douban.com/subject/4848115/,8.9,"剧情,动画,儿童",4,,,2022-07-11 08:20:45,2010 / 日本 / 剧情 动画 儿童 / 藤森雅也 / 山口胜平 爱河里花子
3411177042,四个春天,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2540578887.jpg,2019-01-04(中国大陆),https://movie.douban.com/subject/27191492/,8.8,"纪录片,家庭",4,,,2022-07-10 10:50:24,2017 / 中国大陆 / 纪录片 家庭 / 陆庆屹 / 陆运坤 李桂贤
3379988052,乱世佳人,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1963126880.jpg,1939-12-15(亚特兰大首映),https://movie.douban.com/subject/1300267/,9.3,"剧情,爱情,历史",4,,,2022-06-05 18:58:01,1939 / 美国 / 剧情 爱情 历史 战争 / 维克多·弗莱明 乔治·库克 山姆·伍德 / 费雯·丽 克拉克·盖博
